 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
  1385  1385     0   0.000E+00   0.000E+00   3.021E-03   4.620E-02
  1385  1371     0   9.661E-02   3.884E-01   3.021E-03   4.620E-02
  1385   947     0   1.291E-01   4.959E-01   3.021E-03   4.620E-02
  1371  1385     0   1.353E-01   5.404E-01   3.021E-03   4.405E-02
  1371  1371     0   0.000E+00   0.000E+00   3.021E-03   4.405E-02
  1371   947     0   7.019E-02   3.247E-01   3.021E-03   4.405E-02
   947  1385     0   1.553E-01   5.888E-01   3.021E-03   4.184E-02
   947  1371     0   6.028E-02   2.763E-01   3.021E-03   4.184E-02
   947   947     0   0.000E+00   0.000E+00   3.021E-03   4.184E-02
   494   494     1   0.000E+00   0.000E+00   2.792E-03   5.629E-02
   494  1528     1   2.164E-02   1.613E-01   2.792E-03   5.629E-02
   494  1748     1   1.438E-01   7.109E-01   2.792E-03   5.629E-02
  1528   494     1   2.810E-02   2.099E-01   2.792E-03   5.683E-02
  1528  1528     1   0.000E+00   0.000E+00   2.792E-03   5.683E-02
  1528  1748     1   1.261E-01   6.520E-01   2.792E-03   5.683E-02
  1748   494     1   1.046E-01   5.156E-01   2.792E-03   5.482E-02
  1748  1528     1   7.067E-02   3.634E-01   2.792E-03   5.482E-02
  1748  1748     1   0.000E+00   0.000E+00   2.792E-03   5.482E-02
  2204  2204     2   0.000E+00   0.000E+00   2.865E-09   2.865E-09
  2204  1763     2   4.560E-45   4.560E-45   2.865E-09   2.865E-09
  2204     7     2   1.283E-45   1.283E-45   2.865E-09   2.865E-09
  1763  2204     2   3.397E-45   3.397E-45   2.865E-09   2.865E-09
  1763  1763     2   0.000E+00   0.000E+00   2.865E-09   2.865E-09
  1763     7     2   2.446E-45   2.446E-45   2.865E-09   2.865E-09
     7  2204     2   1.641E-45   1.641E-45   2.865E-09   2.865E-09
     7  1763     2   4.202E-45   4.202E-45   2.865E-09   2.865E-09
     7     7     2   0.000E+00   0.000E+00   2.865E-09   2.865E-09
  1765  1765     3   0.000E+00   0.000E+00   3.155E-09   3.155E-09
  1765    24     3   2.500E-45   2.500E-45   3.155E-09   3.155E-09
  1765    23     3   3.343E-45   3.343E-45   3.155E-09   3.155E-09
    24  1765     3   4.250E-45   4.250E-45   3.155E-09   3.155E-09
    24    24     3   0.000E+00   0.000E+00   3.155E-09   3.155E-09
    24    23     3   1.593E-45   1.593E-45   3.155E-09   3.155E-09
    23  1765     3   4.564E-45   4.564E-45   3.155E-09   3.155E-09
    23    24     3   1.279E-45   1.279E-45   3.155E-09   3.155E-09
    23    23     3   0.000E+00   0.000E+00   3.155E-09   3.155E-09
  1275  1275     4   0.000E+00   0.000E+00   2.910E-09   2.910E-09
  1275  1276     4   9.884E-46   9.884E-46   2.910E-09   2.910E-09
  1275    44     4   4.854E-45   4.854E-45   2.910E-09   2.910E-09
  1276  1275     4   1.391E-45   1.391E-45   2.910E-09   2.910E-09
  1276  1276     4   0.000E+00   0.000E+00   2.910E-09   2.910E-09
  1276    44     4   4.452E-45   4.452E-45   2.910E-09   2.910E-09
    44  1275     4   3.537E-45   3.537E-45   2.910E-09   2.910E-09
    44  1276     4   2.306E-45   2.306E-45   2.910E-09   2.910E-09
    44    44     4   0.000E+00   0.000E+00   2.910E-09   2.910E-09
   217   217     5   0.000E+00   0.000E+00   3.119E-03   3.746E-02
   217   818     5   6.660E-03   6.260E-02   3.119E-03   3.746E-02
   217    21     5   8.817E-02   5.909E-01   3.119E-03   3.746E-02
   818   217     5   1.145E-02   1.084E-01   3.119E-03   3.793E-02
   818   818     5   0.000E+00   0.000E+00   3.119E-03   3.793E-02
   818    21     5   7.268E-02   5.067E-01   3.119E-03   3.793E-02
    21   217     5   6.647E-02   4.728E-01   3.119E-03   4.432E-02
    21   818     5   3.192E-02   2.358E-01   3.119E-03   4.432E-02
    21    21     5   0.000E+00   0.000E+00   3.119E-03   4.432E-02
    44    44     6   0.000E+00   0.000E+00   3.108E-09   3.108E-09
    44    23     6   1.340E-45   1.340E-45   3.108E-09   3.108E-09
    44    30     6   4.503E-45   4.503E-45   3.108E-09   3.108E-09
    23    44     6   3.775E-45   3.775E-45   3.108E-09   3.108E-09
    23    23     6   0.000E+00   0.000E+00   3.108E-09   3.108E-09
    23    30     6   2.068E-45   2.068E-45   3.108E-09   3.108E-09
    30    44     6   5.024E-45   5.024E-45   3.108E-09   3.108E-09
    30    23     6   8.188E-46   8.188E-46   3.108E-09   3.108E-09
    30    30     6   0.000E+00   0.000E+00   3.108E-09   3.108E-09
  2205  2205     7   0.000E+00   0.000E+00   2.888E-09   2.888E-09
  2205     2     7   2.493E-45   2.493E-45   2.888E-09   2.888E-09
  2205  1275     7   3.350E-45   3.350E-45   2.888E-09   2.888E-09
     2  2205     7   1.371E-45   1.371E-45   2.888E-09   2.888E-09
     2     2     7   0.000E+00   0.000E+00   2.888E-09   2.888E-09
     2  1275     7   4.472E-45   4.472E-45   2.888E-09   2.888E-09
  1275  2205     7   1.705E-45   1.705E-45   2.888E-09   2.888E-09
  1275     2     7   4.138E-45   4.138E-45   2.888E-09   2.888E-09
  1275  1275     7   0.000E+00   0.000E+00   2.888E-09   2.888E-09
